"CO_IES","TP_COR_RACA","TP_SEXO","IN_CONCLUINTE","IN_APOIO_BOLSA_PERMANENCIA","value","ANO_CENSO_SUP"
1641,2,1,0,0,6,2009
1641,3,2,0,0,381,2009
1641,3,2,1,0,98,2009
1641,3,1,0,0,555,2009
1641,3,1,1,0,128,2009
1641,4,2,1,0,1,2009
1641,4,1,0,0,1,2009
1641,4,1,1,0,1,2009
1641,9,2,0,0,34,2009
1641,9,1,0,0,36,2009
1782,0,2,0,0,22,2009
1782,0,2,1,0,2,2009
1782,0,1,0,0,16,2009
1782,3,1,0,0,1,2009
1782,9,2,0,0,172,2009
1782,9,2,1,0,71,2009
1782,9,1,0,0,164,2009
1782,9,1,1,0,65,2009
1891,0,2,0,0,62,2009
1891,0,2,1,0,18,2009
1891,0,1,0,0,52,2009
1891,0,1,1,0,14,2009
1891,1,2,0,0,2,2009
1891,1,1,0,0,4,2009
1891,1,1,1,0,1,2009
1891,2,2,0,0,8,2009
1891,2,1,0,0,2,2009
1891,2,1,1,0,1,2009
1891,3,2,0,0,2,2009
1891,3,2,1,0,3,2009
1891,3,1,0,0,2,2009
1891,3,1,1,0,2,2009
1891,4,2,0,0,1,2009
1891,9,2,0,0,3,2009
1891,9,1,0,0,3,2009
1937,0,1,0,0,3,2009
1937,1,2,0,0,4,2009
1937,1,1,0,0,10,2009
1937,2,2,0,0,18,2009
1937,2,1,0,0,16,2009
1937,2,1,1,0,5,2009
1937,3,2,0,0,29,2009
1937,3,2,1,0,2,2009
1937,3,1,0,0,114,2009
1937,3,1,1,0,22,2009
1937,4,2,0,0,2,2009
1937,4,1,0,0,7,2009
1937,9,2,0,0,2,2009
1937,9,1,0,0,11,2009
2076,0,2,0,0,72,2009
2076,0,2,1,0,17,2009
2076,0,1,0,0,93,2009
2076,0,1,1,0,15,2009
2076,1,2,0,0,110,2009
2076,1,2,1,0,13,2009
2076,1,1,0,0,168,2009
2076,1,1,1,0,25,2009
2076,2,2,0,0,83,2009
2076,2,2,1,0,23,2009
2076,2,1,0,0,120,2009
2076,2,1,1,0,26,2009
2076,3,2,0,0,614,2009
2076,3,2,1,0,115,2009
2076,3,1,0,0,783,2009
2076,3,1,1,0,131,2009
2076,4,2,0,0,8,2009
2076,4,1,0,0,17,2009
2076,4,1,1,0,1,2009
2076,5,2,0,0,6,2009
2076,5,1,0,0,8,2009
2076,9,2,0,0,17,2009
2076,9,2,1,0,2,2009
2076,9,1,0,0,34,2009
2085,0,2,0,0,18,2009
2085,0,2,1,0,3,2009
2085,0,1,0,0,5,2009
2085,0,1,1,0,4,2009
2085,1,2,0,0,1,2009
2085,3,2,0,0,7,2009
2085,3,1,0,0,1,2009
2085,9,2,0,0,699,2009
2085,9,2,1,0,78,2009
2085,9,1,0,0,1021,2009
2085,9,1,1,0,102,2009
2402,0,2,0,0,1185,2009
2402,0,2,1,0,249,2009
2402,0,1,0,0,1599,2009
2402,0,1,1,0,331,2009
2402,1,2,0,0,3,2009
2402,1,1,0,0,1,2009
2402,2,2,0,0,2,2009
2402,2,1,0,0,1,2009
2402,3,2,0,0,7,2009
2402,3,1,0,0,12,2009
2402,9,2,0,0,8,2009
2402,9,2,1,0,1,2009
2402,9,1,0,0,24,2009
2427,0,2,0,0,21,2009
2427,0,2,1,0,9,2009
2427,0,1,0,0,21,2009
2427,0,1,1,0,6,2009
2427,1,2,0,0,20,2009
2427,1,2,1,0,5,2009
2427,1,1,0,0,9,2009
2427,1,1,1,0,9,2009
2427,2,2,0,0,18,2009
2427,2,1,0,0,12,2009
2427,3,2,0,0,35,2009
2427,3,2,1,0,4,2009
2427,3,1,0,0,47,2009
2427,3,1,1,0,1,2009
2427,4,2,0,0,4,2009
2427,4,1,0,0,2,2009
2427,9,2,0,0,4,2009
2427,9,1,0,0,5,2009
2457,0,1,0,0,1,2009
2457,2,1,0,0,1,2009
2457,3,2,0,0,1,2009
2457,3,1,0,0,2,2009
2457,9,1,0,0,3,2009
2470,0,2,0,0,11,2009
2470,0,2,1,0,3,2009
2470,0,1,0,0,9,2009
2470,0,1,1,0,2,2009
2470,1,1,1,0,1,2009
2470,3,2,0,0,2,2009
2470,9,2,0,0,204,2009
2470,9,2,1,0,14,2009
2470,9,1,0,0,402,2009
2470,9,1,1,0,14,2009
2500,1,1,0,0,1,2009
2500,3,1,0,0,1,2009
2581,0,2,0,0,5,2009
2581,0,1,0,0,5,2009
2581,1,1,0,0,2,2009
2581,3,2,0,0,742,2009
2581,3,2,1,0,59,2009
2581,3,1,0,0,1586,2009
2581,3,1,1,0,237,2009
2581,9,2,0,0,1,2009
2581,9,1,0,0,1,2009
2598,0,2,0,0,1,2009
2598,0,2,1,0,1,2009
2598,0,1,0,0,3,2009
2598,0,1,1,0,22,2009
2598,2,1,1,0,1,2009
2598,3,2,0,0,1,2009
2598,3,1,1,0,2,2009
2598,4,2,1,0,1,2009
2633,0,1,0,0,34,2009
2633,0,1,1,0,8,2009
2633,1,1,0,0,1,2009
2633,2,1,0,0,7,2009
2633,3,1,0,0,3,2009
2969,0,1,0,0,3,2009
2969,0,1,1,0,5,2009
2969,2,1,1,0,2,2009
3034,0,2,0,0,21,2009
3034,0,1,0,0,55,2009
3034,0,1,1,0,3,2009
3034,1,2,0,0,106,2009
3034,1,2,1,0,6,2009
3034,1,1,0,0,259,2009
3034,1,1,1,0,5,2009
3034,2,2,0,0,122,2009
3034,2,2,1,0,4,2009
3034,2,1,0,0,422,2009
3034,2,1,1,0,5,2009
